modelo,split,n_casos,mae,rmse,medae,me,pup,mae_asimetrico_alpha_2,pct_error_abs_le_1d,pct_error_abs_le_3d,pct_error_abs_le_7d,los_real_promedio,los_pred_promedio,umbral_plos,n_plos_real,n_plos_pred,precision_plos_14,recall_plos_14,f1_plos_14,accuracy_plos_14,tn_plos_14,fp_plos_14,fn_plos_14,tp_plos_14
XGB,holdout,2391,2.859976547790067,7.166820222578505,0.8359100818634033,-0.9623727626360046,0.4470932664157256,4.771151203003103,0.5537432036804685,0.7913007109995818,0.8962777080719364,6.310748640736094,5.348375878100089,14,279,205,0.8,0.5878136200716846,0.6776859504132232,0.9347553324968632,2071,41,115,164
RF,holdout,2391,3.096573713122259,8.289912714878062,0.9118077430398336,-1.3344962570345331,0.4550397323295692,5.312108698200655,0.5324132162275199,0.7724801338352154,0.8941865328314513,6.310748640736094,4.976252383701561,14,279,183,0.819672131147541,0.5376344086021505,0.6493506493506493,0.9322459222082812,2079,33,129,150
LR,holdout,2391,6.676382212589561,69.5686929726674,0.8486132594019953,2.7609224695452763,0.4968632371392723,8.634112084111704,0.5424508573818486,0.7624424926808867,0.8833124215809285,6.310748640736094,9.071671110281372,14,279,187,0.7754010695187166,0.5197132616487455,0.6223175965665235,0.9263906315349226,2070,42,134,145
