modelo,split,segmento,es_urgencia,n_casos,mae,rmse,medae,me,pup,mae_asimetrico_alpha_2,pct_error_abs_le_1d,pct_error_abs_le_3d,pct_error_abs_le_7d,los_real_promedio,los_pred_promedio,umbral_plos,n_plos_real,n_plos_pred,precision_plos_14,recall_plos_14,f1_plos_14,accuracy_plos_14,tn_plos_14,fp_plos_14,fn_plos_14,tp_plos_14
XGB,holdout,programado,0,1693,1.8363191803891985,5.5006593061603795,0.5848431587219238,-0.607760177396031,0.4181925575900768,3.058358859281813,0.6692262256349675,0.8854105138806851,0.9456585942114588,4.361488481984643,3.753728304588612,14,99,77,0.8051948051948052,0.6262626262626263,0.7045454545454545,0.96928529238039,1579,15,37,62
XGB,holdout,urgente,1,698,5.342858958978708,10.126998033651082,2.4921250343322754,-1.8224860961765137,0.5171919770773639,8.925531486556318,0.2736389684813753,0.5630372492836676,0.7765042979942693,11.038681948424069,9.216195852247557,14,180,128,0.796875,0.5666666666666667,0.6623376623376623,0.8510028653295129,492,26,78,102
RF,holdout,programado,0,1693,2.0469875833077023,6.195986488158342,0.7102774393823394,-0.8401143655769431,0.4347312463083284,3.490538557750025,0.6556408741878322,0.8670998227997637,0.9409332545776729,4.361488481984643,3.5213741164076997,14,99,73,0.8082191780821918,0.5959595959595959,0.686046511627907,0.9681039574719432,1580,14,40,59
RF,holdout,urgente,1,698,5.642346374692522,11.92870247790258,2.548973447740883,-2.5336202430484307,0.504297994269341,9.730329683563,0.2335243553008596,0.5429799426934098,0.7808022922636103,11.038681948424069,8.505061705375638,14,180,110,0.8272727272727273,0.5055555555555555,0.6275862068965518,0.8452722063037249,499,19,89,91
LR,holdout,programado,0,1693,2.6007779948637677,11.008062777521546,0.5607635343675978,0.0396223344562111,0.4884819846426462,3.881355825067546,0.6639102185469581,0.8629651506202008,0.9362079149438866,4.361488481984643,4.401110816440854,14,99,65,0.8,0.5252525252525253,0.6341463414634146,0.9645599527466036,1581,13,47,52
LR,holdout,urgente,1,698,16.561766081657996,127.61205344627297,2.8207640078940557,9.361439845914596,0.5171919770773639,20.161929199529695,0.2478510028653295,0.5186246418338109,0.7550143266475645,11.038681948424069,20.400121794338663,14,180,122,0.7622950819672131,0.5166666666666667,0.6158940397350994,0.833810888252149,489,29,87,93
