modelo,split,tramo,n_casos,mae,rmse,medae,me,pup,mae_asimetrico_alpha_2,pct_error_abs_le_1d,pct_error_abs_le_3d,pct_error_abs_le_7d,los_real_promedio,los_pred_promedio,umbral_plos,n_plos_real,n_plos_pred,precision_plos_14,recall_plos_14,f1_plos_14,accuracy_plos_14,tn_plos_14,fp_plos_14,fn_plos_14,tp_plos_14
XGB,holdout,0-2,1183,0.7935112335184622,1.6207660497246157,0.4753658771514892,0.7041495088377648,0.1715976331360946,0.8381920958588109,0.7945900253592562,0.9636517328825022,0.992392223161454,1.2299239222316145,1.9340734310693792,14,0,4,0.0,0.0,0.0,0.9966187658495352,1179,4,0,0
XGB,holdout,3-6,680,1.566538466250195,2.629444080416669,0.9859315156936646,-0.2234957770389669,0.6867647058823529,2.461555587894776,0.5044117647058823,0.8911764705882353,0.9720588235294118,4.0323529411764705,3.808857164137504,14,0,12,0.0,0.0,0.0,0.9823529411764704,668,12,0,0
XGB,holdout,7-13,249,4.099605031760342,4.923635710454083,3.603193998336792,-1.762564804659311,0.7188755020080321,7.030689949970169,0.1004016064257028,0.4016064257028112,0.8755020080321285,9.028112449799195,7.265547645139886,14,0,25,0.0,0.0,0.0,0.8995983935742972,224,25,0,0
XGB,holdout,14+ (PLOS),279,13.668216224212372,19.762412131251367,10.47808074951172,-9.115363367996762,0.7885304659498208,25.06000602031694,0.057347670250896,0.1648745519713261,0.3225806451612903,30.982078853046595,21.86671548504983,14,279,164,1.0,0.5878136200716846,0.7404063205417607,0.5878136200716846,0,0,115,164
RF,holdout,0-2,1183,0.8514109623408773,1.633410303221511,0.4739440363739895,0.7701118723076028,0.1969568892645815,0.8920605073575144,0.7776838546069316,0.9459002535925612,0.9907016060862216,1.2299239222316145,2.0000357945392175,14,0,1,0.0,0.0,0.0,0.9991546914623838,1182,1,0,0
RF,holdout,3-6,680,1.6466377031042605,2.731885332663487,1.0873133994972335,-0.159091394817519,0.6529411764705882,2.5495022520651505,0.4691176470588235,0.8705882352941177,0.975,4.0323529411764705,3.873261546358952,14,0,9,0.0,0.0,0.0,0.986764705882353,671,9,0,0
RF,holdout,7-13,249,4.266182471831946,5.318613707722908,3.932068892952541,-1.644338352225718,0.714859437751004,7.221442883860777,0.1004016064257028,0.4096385542168674,0.8554216867469879,9.028112449799195,7.383774097573479,14,0,23,0.0,0.0,0.0,0.9076305220883534,226,23,0,0
RF,holdout,14+ (PLOS),279,15.106435505480327,23.112703822344816,10.437750259789878,-12.846596764621316,0.8351254480286738,29.08295164053115,0.032258064516129,0.1218637992831541,0.3225806451612903,30.982078853046595,18.13548208842528,14,279,150,1.0,0.5376344086021505,0.6993006993006993,0.5376344086021505,0,0,129,150
LR,holdout,0-2,1183,1.0258925346070242,3.6509859452087343,0.4108021836417768,0.7708264494597529,0.3575655114116652,1.15342557718066,0.7861369399830939,0.9433643279797126,0.9839391377852916,1.2299239222316145,2.0007503716913675,14,0,11,0.0,0.0,0.0,0.9907016060862216,1172,11,0,0
LR,holdout,3-6,680,2.4020028798512247,6.553152424647792,1.1640695565608037,0.6364721349991307,0.6132352941176471,3.284768252277272,0.4485294117647059,0.8161764705882353,0.9544117647058824,4.0323529411764705,4.668825076175601,14,0,23,0.0,0.0,0.0,0.9661764705882352,657,23,0,0
LR,holdout,7-13,249,5.630138725457037,10.043683796938597,4.396499102328592,-0.8013936761060664,0.7108433734939759,8.84590492623859,0.1164658634538152,0.357429718875502,0.7751004016064257,9.028112449799195,8.22671877369313,14,0,29,0.0,0.0,0.0,0.8835341365461847,220,29,0,0
LR,holdout,14+ (PLOS),279,96.79500377475397,530.2061789762647,16.156460719340433,72.7820691897836,0.6487455197132617,108.80147106723916,0.021505376344086,0.086021505376344,0.1792114695340501,30.982078853046595,103.76414804283016,14,279,145,1.0,0.5197132616487455,0.6839622641509434,0.5197132616487455,0,0,134,145
