modelo,split,umbral_prob,n_casos,n_plos_real,n_alertas_clasificador,roc_auc,pr_auc,brier,precision,recall,f1,accuracy,tn,fp,fn,tp
XGB,train,0.5,9560,1117,1549,0.9828813600837508,0.8877871141898419,0.04551521760554172,0.6714009038089089,0.9310653536257834,0.7801950487621906,0.9387029288702929,7934,509,77,1040
XGB,holdout,0.5,2391,279,377,0.9553770229173455,0.7762670150210509,0.060970322523208415,0.6074270557029178,0.8207885304659498,0.698170731707317,0.917189460476788,1964,148,50,229
RF,train,0.5,9560,1117,1655,0.9737840705659979,0.8428360531093342,0.05894117915030786,0.6078549848942598,0.900626678603402,0.7258297258297258,0.9205020920502092,7794,649,111,1006
RF,holdout,0.5,2391,279,419,0.9529077739763224,0.7310736995765716,0.06758115067411569,0.5608591885441527,0.8422939068100358,0.673352435530086,0.904642409033877,1928,184,44,235
