modelo,split,segmento,umbral_prob,n_casos,n_plos_real,n_alertas_clasificador,roc_auc,pr_auc,brier,precision,recall,f1,accuracy,tn,fp,fn,tp
XGB,train,programado,0.5,6772,396,617,0.99602043014841,0.933852828575477,0.02567021424762739,0.6369529983792545,0.9924242424242424,0.7759131293188549,0.9664796219728293,6152,224,3,393
XGB,train,urgente,0.5,2788,721,932,0.9508490532487601,0.8895525887348796,0.09371836062555458,0.694206008583691,0.897364771151179,0.7828191167574108,0.8712338593974175,1782,285,74,647
XGB,holdout,programado,0.5,1693,99,149,0.9776751200841541,0.8201506979766455,0.03549037146881738,0.5637583892617449,0.8484848484848485,0.6774193548387096,0.9527466036621383,1529,65,15,84
XGB,holdout,urgente,0.5,698,180,228,0.8916988416988417,0.7754199358319737,0.12277198030986172,0.6359649122807017,0.8055555555555556,0.7107843137254902,0.830945558739255,435,83,35,145
RF,train,programado,0.5,6772,396,608,0.9937827142187242,0.9173638415387023,0.028282990621664974,0.625,0.9595959595959596,0.7569721115537849,0.9639692852923804,6148,228,16,380
RF,train,urgente,0.5,2788,721,1047,0.9157455477294276,0.8214100402187869,0.13340934726937873,0.5978987583572111,0.8682385575589459,0.7081447963800905,0.8149210903873745,1646,421,95,626
RF,holdout,programado,0.5,1693,99,166,0.9783911891816535,0.7813179459561332,0.037092102672947,0.536144578313253,0.898989898989899,0.6716981132075471,0.9486119314825753,1517,77,10,89
RF,holdout,urgente,0.5,698,180,253,0.880941655941656,0.7473279119952453,0.14153238028153486,0.5770750988142292,0.8111111111111111,0.674364896073903,0.7979942693409742,411,107,34,146
