modelo,split,segmento,es_urgencia,n_casos,mae,rmse,medae,me,pup,mae_asimetrico_alpha_2,pct_error_abs_le_1d,pct_error_abs_le_3d,pct_error_abs_le_7d,los_real_promedio,los_pred_promedio,umbral_plos,n_plos_real,n_plos_pred,precision_plos_14,recall_plos_14,f1_plos_14,accuracy_plos_14,tn_plos_14,fp_plos_14,fn_plos_14,tp_plos_14
LR,train,programado,0,6772,1.365013786162697,4.369532536290255,0.48138083508247276,-0.33782416736245785,0.4912876550502067,2.2164327629252742,0.7185469580626107,0.9183402244536326,0.9678086237448317,4.421884229178972,4.084060061816515,14,396,293,0.931740614334471,0.6893939393939394,0.7924528301886793,0.978883638511518,6356,20,123,273
LR,train,urgente,1,2788,3.8781040249844563,9.24846809026448,1.6614089636974212,-0.8394912964564659,0.498206599713056,6.236901685704918,0.35437589670014347,0.6718077474892395,0.8626255380200861,11.589670014347202,10.750178717890739,14,721,568,0.903169014084507,0.7115117891816921,0.7959658650116369,0.9056671449067432,2012,55,208,513
