modelo,split,segmento,es_urgencia,tramo,n_casos,mae,rmse,medae,me,pup,mae_asimetrico_alpha_2,pct_error_abs_le_1d,pct_error_abs_le_3d,pct_error_abs_le_7d,los_real_promedio,los_pred_promedio,umbral_plos,n_plos_real,n_plos_pred,precision_plos_14,recall_plos_14,f1_plos_14,accuracy_plos_14,tn_plos_14,fp_plos_14,fn_plos_14,tp_plos_14
RF,train,programado,0,0-2,3930,0.5566641795180365,0.9178170028842444,0.4026663089178182,0.4737673380607398,0.23180661577608141,0.5981126002466848,0.860559796437659,0.9888040712468193,0.9989821882951654,1.2633587786259541,1.7371261166866938,14,0,2,0.0,0.0,0.0,0.9994910941475827,3928,2,0,0
RF,train,programado,0,3-6,2006,1.1922431863153267,1.6663211569959788,0.9503656698093992,-0.6793358267654163,0.7432701894317049,2.128032692855698,0.5274177467597209,0.9336989032901296,0.9965104685942173,3.8639082751744764,3.1845724484090603,14,0,5,0.0,0.0,0.0,0.9975074775672981,2001,5,0,0
RF,train,programado,0,7-13,440,4.077150639769988,4.9299726883536295,3.7057320580239974,-2.5907174056612563,0.8090909090909091,7.411084662485609,0.09545454545454546,0.39545454545454545,0.8772727272727273,8.838636363636363,6.2479189579751075,14,0,25,0.0,0.0,0.0,0.9431818181818182,415,25,0,0
RF,train,programado,0,14+ (PLOS),396,14.133684480782032,24.500676406927436,7.98844831283029,-11.194992463269053,0.7373737373737373,26.79802295280757,0.07828282828282829,0.20454545454545456,0.45707070707070707,33.686868686868685,22.491876223599633,14,396,294,1.0,0.7424242424242424,0.8521739130434782,0.7424242424242424,0,0,102,294
RF,train,urgente,1,0-2,799,1.6239816119904529,2.3102556546336634,1.1080312243385535,1.539873900869276,0.10888610763454318,1.6660354675510414,0.46808510638297873,0.8460575719649562,0.983729662077597,1.2077596996245306,2.747633600493806,14,0,1,0.0,0.0,0.0,0.9987484355444305,798,1,0,0
RF,train,urgente,1,3-6,714,1.8344645913470186,2.6636156171067515,1.2896166967399885,0.4092224596774535,0.5364145658263305,2.547085657181801,0.39355742296918766,0.8235294117647058,0.9733893557422969,4.295518207282913,4.704740666960366,14,0,9,0.0,0.0,0.0,0.9873949579831933,705,9,0,0
RF,train,urgente,1,7-13,554,3.3666996241066407,4.150920823303273,3.075664608249013,-1.3566945203138232,0.6606498194945848,5.728396696316873,0.16787003610108303,0.48736462093862815,0.9187725631768953,9.359205776173285,8.00251125585946,14,0,41,0.0,0.0,0.0,0.9259927797833934,513,41,0,0
RF,train,urgente,1,14+ (PLOS),721,13.1939994808837,22.477632932297,8.077702289896393,-11.165036682561308,0.8016643550624133,25.3735175626062,0.07073509015256588,0.17753120665742025,0.42857142857142855,32.03190013869626,20.866863456134947,14,721,455,1.0,0.6310679611650486,0.7738095238095238,0.6310679611650486,0,0,266,455
