modelo,split,segmento,es_urgencia,n_casos,mae,rmse,medae,me,pup,mae_asimetrico_alpha_2,pct_error_abs_le_1d,pct_error_abs_le_3d,pct_error_abs_le_7d,los_real_promedio,los_pred_promedio,umbral_plos,n_plos_real,n_plos_pred,precision_plos_14,recall_plos_14,f1_plos_14,accuracy_plos_14,tn_plos_14,fp_plos_14,fn_plos_14,tp_plos_14
XGB,train,programado,0,6772,1.5668819130206348,4.587253924445112,0.5984780788421631,-0.4617111120995726,0.43399291199054935,2.5811784255807386,0.6735085646780863,0.8905788541051388,0.9599822799763733,4.421884229178972,3.9601731170793997,14,396,326,0.901840490797546,0.7424242424242424,0.8144044321329641,0.9802126402835204,6344,32,102,294
XGB,train,urgente,1,2788,4.088742654540789,8.159651839592135,1.8864444494247437,-1.6399496585515514,0.5125538020086083,6.953088811086959,0.3016499282639885,0.6423959827833573,0.8472022955523673,11.589670014347202,9.949720355795652,14,721,543,0.9152854511970534,0.6893203883495146,0.786392405063291,0.9031563845050216,2021,46,224,497
