modelo,metodo_ip90,alcance,segmento,tramo_real,n,coverage,width_mean
LR,global,global,todos,todos,2391,0.7996654119615224,7.697250466462645
LR,segmento,global,todos,todos,2391,0.7904642409033877,7.251277675919218
LR,pred_tramo,global,todos,todos,2391,0.7490589711417817,8.16538362873104
LR,segmento_pred_tramo,global,todos,todos,2391,0.7461313258051024,8.09886224354032
XGB,global,global,todos,todos,2391,0.8707653701380176,9.85598312157506
XGB,segmento,global,todos,todos,2391,0.8724383103304056,9.246884467087417
XGB,pred_tramo,global,todos,todos,2391,0.8561271434546215,9.697051065811777
XGB,segmento_pred_tramo,global,todos,todos,2391,0.8552906733584275,9.695877548578416
LR,global,tramo_real,todos,3-6,680,0.9,8.22351636524215
LR,segmento,tramo_real,todos,3-6,680,0.8647058823529412,7.086090745768472
LR,pred_tramo,tramo_real,todos,3-6,680,0.7808823529411765,7.089720532439351
LR,segmento_pred_tramo,tramo_real,todos,3-6,680,0.7676470588235295,6.805290701565312
LR,global,tramo_real,todos,0-2,1183,0.9467455621301775,7.067194269736798
LR,segmento,tramo_real,todos,0-2,1183,0.9205409974640744,5.691782259140401
LR,pred_tramo,tramo_real,todos,0-2,1183,0.8562975486052409,3.455388454501542
LR,segmento_pred_tramo,tramo_real,todos,0-2,1183,0.8478444632290786,3.3469624946565597
LR,global,tramo_real,todos,14+ (PLOS),279,0.12186379928315412,8.492954147975624
LR,segmento,tramo_real,todos,14+ (PLOS),279,0.1971326164874552,11.57517789868403
LR,pred_tramo,tramo_real,todos,14+ (PLOS),279,0.36917562724014336,26.173331348847505
LR,segmento_pred_tramo,tramo_real,todos,14+ (PLOS),279,0.3763440860215054,26.586150166734523
LR,global,tramo_real,todos,7-13,249,0.5863453815261044,8.361886379773864
LR,segmento,tramo_real,todos,7-13,249,0.6345381526104418,10.266707508852814
LR,pred_tramo,tramo_real,todos,7-13,249,0.5783132530120482,13.302563478848915
LR,segmento_pred_tramo,tramo_real,todos,7-13,249,0.6184738955823293,13.493130198967295
XGB,global,tramo_real,todos,3-6,680,0.9470588235294117,10.308307738088223
XGB,segmento,tramo_real,todos,3-6,680,0.9382352941176471,9.028391117022062
XGB,pred_tramo,tramo_real,todos,3-6,680,0.8867647058823529,8.059801849257337
XGB,segmento_pred_tramo,tramo_real,todos,3-6,680,0.888235294117647,7.696850049992642
XGB,global,tramo_real,todos,0-2,1183,0.967032967032967,9.236375034273866
XGB,segmento,tramo_real,todos,0-2,1183,0.9577345731191885,7.513699226961964
XGB,pred_tramo,tramo_real,todos,0-2,1183,0.9053254437869822,4.041343095410815
XGB,segmento_pred_tramo,tramo_real,todos,0-2,1183,0.9010989010989011,4.023343146919694
XGB,global,tramo_real,todos,14+ (PLOS),279,0.31899641577060933,10.729381414767012
XGB,segmento,tramo_real,todos,14+ (PLOS),279,0.44802867383512546,14.012935745627255
XGB,pred_tramo,tramo_real,todos,14+ (PLOS),279,0.6702508960573477,32.83631993267019
XGB,segmento_pred_tramo,tramo_real,todos,14+ (PLOS),279,0.6630824372759857,33.407763443405
XGB,global,tramo_real,todos,7-13,249,0.8232931726907631,10.585852616546171
XGB,segmento,tramo_real,todos,7-13,249,0.7630522088353414,12.737668846204832
XGB,pred_tramo,tramo_real,todos,7-13,249,0.7469879518072289,15.111412440863434
XGB,segmento_pred_tramo,tramo_real,todos,7-13,249,0.7630522088353414,15.536563217429709
LR,global,segmento,urgente,todos,698,0.5845272206303725,8.019034058302935
LR,segmento,segmento,urgente,todos,698,0.7335243553008596,13.72231917521614
LR,pred_tramo,segmento,urgente,todos,698,0.5386819484240688,13.383738927893967
LR,segmento_pred_tramo,segmento,urgente,todos,698,0.6289398280802292,14.32068471912514
LR,global,segmento,programado,todos,1693,0.8883638511518015,7.5645836341504635
LR,segmento,segmento,programado,todos,1693,0.8139397519196693,4.58335861714234
LR,pred_tramo,segmento,programado,todos,1693,0.8357944477259303,6.013929406158256
LR,segmento_pred_tramo,segmento,programado,todos,1693,0.7944477259303012,5.533692670026912
XGB,global,segmento,urgente,todos,698,0.7177650429799427,10.32627466216331
XGB,segmento,segmento,urgente,todos,698,0.8409742120343839,17.13094145064472
XGB,pred_tramo,segmento,urgente,todos,698,0.7421203438395415,15.961691318123183
XGB,segmento_pred_tramo,segmento,urgente,todos,698,0.7979942693409742,16.58346385824498
XGB,global,segmento,programado,todos,1693,0.9338452451269935,9.6620885584737
XGB,segmento,segmento,programado,todos,1693,0.8854105138806851,5.996399071621971
XGB,pred_tramo,segmento,programado,todos,1693,0.9031305375073834,7.114228327410501
XGB,segmento_pred_tramo,segmento,programado,todos,1693,0.8789131718842291,6.856222944829295
