segmento,segmento_label,modelo,n_casos,mae,rmse,mae_asimetrico_alpha_2,precision_plos_14,recall_plos_14,f1_plos_14,mae_tramo_14_plos
programado,No urgencia,XGB,1693,1.8363191803891985,5.5006593061603795,3.058358859281813,0.8051948051948052,0.6262626262626263,0.7045454545454545,14.472726036803891
programado,No urgencia,LR,1693,3.336523304926834,15.261880746572505,4.632813944749894,0.7605633802816901,0.5454545454545454,0.6352941176470589,35.36838939322771
urgente,Urgencia,XGB,698,5.342858958978708,10.126998033651082,8.925531486556318,0.796875,0.5666666666666667,0.6623376623376623,13.225735827287036
urgente,Urgencia,LR,698,36.68477001044838,334.5180728051533,40.56308254338801,0.6642335766423357,0.5055555555555555,0.5741324921135647,130.5796416845934
