metrica,mean,std
mae,3.0180068867725303,0.11239411448497305
rmse,7.857493073023063,0.7991290095545893
medae,0.9344540476799011,0.018124766760821323
wape,0.46557627955341163,0.01775238555212289
smape,0.4619007308304043,0.008429172965930695
bias_error_medio,-1.1749852220757737,0.17278849374791125
pct_subestima,0.47635983263598325,0.008517239743021867
pct_sobrestima,0.5236401673640168,0.008517239743021904
precision_plos_27,0.747128832082986,0.06077863776754841
recall_plos_27,0.4393856511676836,0.07155938205550177
f1_plos_27,0.5524603759071692,0.07372743674219506
costo_asimetrico_2x,5.114502941196683,0.24574264671450627
costo_asimetrico_3x,7.210998995620836,0.38174023849580857
