metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
tn_plos_14,105.0,,,3000,110,LR,segmento_tramo_real,programado,7-13
fp_plos_14,5.0,,,3000,110,LR,segmento_tramo_real,programado,7-13
fn_plos_14,0.0,,,3000,110,LR,segmento_tramo_real,programado,7-13
tp_plos_14,0.0,,,3000,110,LR,segmento_tramo_real,programado,7-13
mae,26.658664560628704,20.2251664756896,33.82204749521395,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
rmse,44.60495189735485,31.16301392573111,57.82629303033128,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
medae,15.11452906806247,10.84189606800119,18.11067241941728,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
me_sesgo_pred_menos_real,-0.13512359397706128,-8.522113522020106,8.740595683153163,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
pup_subestimacion,0.6767676767676768,0.5858585858585859,0.7676767676767676,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
mae_asimetrico_alpha_2,40.05555863793159,31.77010368680062,48.81894172837944,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
pct_error_abs_le_1d,0.020202020202020204,0.0,0.050505050505050504,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
pct_error_abs_le_3d,0.09090909090909091,0.04040404040404041,0.15151515151515152,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
pct_error_abs_le_7d,0.21212121212121213,0.13131313131313133,0.30303030303030304,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
precision_plos_14,1.0,1.0,1.0,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
recall_plos_14,0.5252525252525253,0.42424242424242425,0.6262626262626263,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
f1_plos_14,0.6887417218543047,0.5957446808510638,0.7701863354037267,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
accuracy_plos_14,0.5252525252525253,0.42424242424242425,0.6262626262626263,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
n_plos_real_14,99.0,,,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
n_plos_pred_14,52.0,,,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
tn_plos_14,0.0,,,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
fp_plos_14,0.0,,,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
fn_plos_14,47.0,,,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
tp_plos_14,52.0,,,3000,99,LR,segmento_tramo_real,programado,14+ (PLOS)
mae,2.1854500063796607,1.578456491263683,2.9597088587835683,3000,200,LR,segmento_tramo_real,urgente,0-2
rmse,5.4216415705925645,2.7093395240466753,7.885819968195871,3000,200,LR,segmento_tramo_real,urgente,0-2
medae,0.9573634951288821,0.7817342575254866,1.1336191201793262,3000,200,LR,segmento_tramo_real,urgente,0-2
me_sesgo_pred_menos_real,1.972900919048791,1.349821163027851,2.7587220215494432,3000,200,LR,segmento_tramo_real,urgente,0-2
pup_subestimacion,0.22,0.165,0.28,3000,200,LR,segmento_tramo_real,urgente,0-2
mae_asimetrico_alpha_2,2.2917245500450956,1.6868464263635938,3.0579867936571863,3000,200,LR,segmento_tramo_real,urgente,0-2
pct_error_abs_le_1d,0.52,0.455,0.59,3000,200,LR,segmento_tramo_real,urgente,0-2
pct_error_abs_le_3d,0.84,0.79,0.89,3000,200,LR,segmento_tramo_real,urgente,0-2
pct_error_abs_le_7d,0.955,0.925,0.98,3000,200,LR,segmento_tramo_real,urgente,0-2
precision_plos_14,0.0,0.0,0.0,3000,200,LR,segmento_tramo_real,urgente,0-2
recall_plos_14,,,,3000,200,LR,segmento_tramo_real,urgente,0-2
f1_plos_14,,,,3000,200,LR,segmento_tramo_real,urgente,0-2
accuracy_plos_14,0.98,0.96,0.995,3000,200,LR,segmento_tramo_real,urgente,0-2
n_plos_real_14,0.0,,,3000,200,LR,segmento_tramo_real,urgente,0-2
n_plos_pred_14,4.0,,,3000,200,LR,segmento_tramo_real,urgente,0-2
tn_plos_14,196.0,,,3000,200,LR,segmento_tramo_real,urgente,0-2
fp_plos_14,4.0,,,3000,200,LR,segmento_tramo_real,urgente,0-2
fn_plos_14,0.0,,,3000,200,LR,segmento_tramo_real,urgente,0-2
tp_plos_14,0.0,,,3000,200,LR,segmento_tramo_real,urgente,0-2
mae,2.4842263653637042,2.114772775082206,2.8757092874595087,3000,179,LR,segmento_tramo_real,urgente,3-6
rmse,3.6177023816726597,2.9394331634914215,4.321920138840609,3000,179,LR,segmento_tramo_real,urgente,3-6
medae,1.7447279944092275,1.5494575143678757,1.9610862525326782,3000,179,LR,segmento_tramo_real,urgente,3-6
me_sesgo_pred_menos_real,0.49900579542650275,-0.020720091240690564,1.0461166670756583,3000,179,LR,segmento_tramo_real,urgente,3-6
pup_subestimacion,0.5307262569832403,0.45251396648044695,0.6033519553072626,3000,179,LR,segmento_tramo_real,urgente,3-6
mae_asimetrico_alpha_2,3.4768366503323063,3.0483021809232715,3.9096645263205545,3000,179,LR,segmento_tramo_real,urgente,3-6
pct_error_abs_le_1d,0.2905027932960894,0.22905027932960895,0.3575418994413408,3000,179,LR,segmento_tramo_real,urgente,3-6
pct_error_abs_le_3d,0.7374301675977654,0.6759776536312849,0.8044692737430168,3000,179,LR,segmento_tramo_real,urgente,3-6
pct_error_abs_le_7d,0.9329608938547486,0.8938547486033519,0.9664804469273743,3000,179,LR,segmento_tramo_real,urgente,3-6
precision_plos_14,0.0,0.0,0.0,3000,179,LR,segmento_tramo_real,urgente,3-6
recall_plos_14,,,,3000,179,LR,segmento_tramo_real,urgente,3-6
f1_plos_14,,,,3000,179,LR,segmento_tramo_real,urgente,3-6
accuracy_plos_14,0.9720670391061452,0.9441340782122905,0.994413407821229,3000,179,LR,segmento_tramo_real,urgente,3-6
n_plos_real_14,0.0,,,3000,179,LR,segmento_tramo_real,urgente,3-6
n_plos_pred_14,5.0,,,3000,179,LR,segmento_tramo_real,urgente,3-6
tn_plos_14,174.0,,,3000,179,LR,segmento_tramo_real,urgente,3-6
fp_plos_14,5.0,,,3000,179,LR,segmento_tramo_real,urgente,3-6
fn_plos_14,0.0,,,3000,179,LR,segmento_tramo_real,urgente,3-6
tp_plos_14,0.0,,,3000,179,LR,segmento_tramo_real,urgente,3-6
mae,4.857142960879447,4.160280935047205,5.636931535072956,3000,139,LR,segmento_tramo_real,urgente,7-13
rmse,6.690331987537548,4.958360757095887,8.551133118799505,3000,139,LR,segmento_tramo_real,urgente,7-13
medae,4.111073833503339,3.5108402788179998,4.804106713766034,3000,139,LR,segmento_tramo_real,urgente,7-13
me_sesgo_pred_menos_real,-0.9253530379264122,-1.9793624910400165,0.22974798711771913,3000,139,LR,segmento_tramo_real,urgente,7-13
pup_subestimacion,0.7122302158273381,0.6330935251798561,0.7841726618705036,3000,139,LR,segmento_tramo_real,urgente,7-13
mae_asimetrico_alpha_2,7.748390960282374,6.8603858880364434,8.676156174971718,3000,139,LR,segmento_tramo_real,urgente,7-13
pct_error_abs_le_1d,0.08633093525179857,0.04316546762589928,0.1366906474820144,3000,139,LR,segmento_tramo_real,urgente,7-13
pct_error_abs_le_3d,0.3381294964028777,0.2589928057553957,0.4172661870503597,3000,139,LR,segmento_tramo_real,urgente,7-13
pct_error_abs_le_7d,0.8345323741007195,0.7769784172661871,0.8920863309352518,3000,139,LR,segmento_tramo_real,urgente,7-13
precision_plos_14,0.0,0.0,0.0,3000,139,LR,segmento_tramo_real,urgente,7-13
recall_plos_14,,,,3000,139,LR,segmento_tramo_real,urgente,7-13
f1_plos_14,,,,3000,139,LR,segmento_tramo_real,urgente,7-13
accuracy_plos_14,0.8561151079136691,0.7985611510791367,0.9136690647482014,3000,139,LR,segmento_tramo_real,urgente,7-13
n_plos_real_14,0.0,,,3000,139,LR,segmento_tramo_real,urgente,7-13
n_plos_pred_14,20.0,,,3000,139,LR,segmento_tramo_real,urgente,7-13
tn_plos_14,119.0,,,3000,139,LR,segmento_tramo_real,urgente,7-13
fp_plos_14,20.0,,,3000,139,LR,segmento_tramo_real,urgente,7-13
fn_plos_14,0.0,,,3000,139,LR,segmento_tramo_real,urgente,7-13
tp_plos_14,0.0,,,3000,139,LR,segmento_tramo_real,urgente,7-13
mae,55.57335184866113,26.254596800547986,96.71730888363123,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
rmse,251.1348950401918,67.4291349130282,405.29878330168845,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
medae,12.22866881875899,11.063077010866003,15.242894903075968,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
me_sesgo_pred_menos_real,34.32781590849477,4.5125493815882445,76.21300328753203,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
pup_subestimacion,0.6833333333333333,0.6166666666666667,0.75,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
mae_asimetrico_alpha_2,66.19611981874431,37.01325081781466,107.00256539668462,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
pct_error_abs_le_1d,0.027777777777777776,0.005555555555555556,0.05555555555555555,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
pct_error_abs_le_3d,0.08333333333333333,0.044444444444444446,0.12777777777777777,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
pct_error_abs_le_7d,0.29444444444444445,0.22777777777777777,0.3611111111111111,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
precision_plos_14,1.0,1.0,1.0,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
recall_plos_14,0.5166666666666667,0.4388888888888889,0.5888888888888889,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
f1_plos_14,0.6813186813186815,0.61003861003861,0.7412587412587412,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
accuracy_plos_14,0.5166666666666667,0.4388888888888889,0.5888888888888889,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
n_plos_real_14,180.0,,,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
n_plos_pred_14,93.0,,,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
tn_plos_14,0.0,,,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
fp_plos_14,0.0,,,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
fn_plos_14,87.0,,,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
tp_plos_14,93.0,,,3000,180,LR,segmento_tramo_real,urgente,14+ (PLOS)
mae,0.6030742529379385,0.5438021479322669,0.6690487260521234,3000,983,RF,segmento_tramo_real,programado,0-2
rmse,1.1415121632331107,0.8705519069860316,1.4711722104382285,3000,983,RF,segmento_tramo_real,programado,0-2
medae,0.40790083607496563,0.3722626545919481,0.4383633367294404,3000,983,RF,segmento_tramo_real,programado,0-2
