scope,modelo,alcance,segmento,tramo_real,n,coverage_aparente,width_mean,width_median,lower_mean,upper_mean
global,RF,segmento_tramo_real,programado,0-2,983,0.9928789420142421,13.00634536853834,12.901326100795744,0.044530723076273,13.050876091614612
global,RF,segmento_tramo_real,programado,14+ (PLOS),99,0.3838383838383838,15.448242375456196,15.522466227318677,13.920563848447658,29.368806223903853
global,RF,segmento_tramo_real,programado,3-6,501,0.9720558882235529,14.342441429432613,14.38192639779581,0.36909037512295173,14.711531804555564
global,RF,segmento_tramo_real,programado,7-13,110,0.9363636363636364,14.90398621619656,15.522466227318677,2.7435912864287384,17.647577502625296
global,RF,segmento_tramo_real,urgente,0-2,200,0.865,13.882728347683368,13.718422437041971,0.4869690415237145,14.369697389207083
global,RF,segmento_tramo_real,urgente,14+ (PLOS),180,0.5222222222222223,15.461120584757792,15.522466227318677,13.970427069379095,29.431547654136885
global,RF,segmento_tramo_real,urgente,3-6,179,0.8770949720670391,14.728815540467522,15.37498521319403,1.637252069507569,16.36606760997509
global,RF,segmento_tramo_real,urgente,7-13,139,0.8848920863309353,15.241736274306087,15.522466227318677,4.215120142388514,19.456856416694603
global,XGB,segmento_tramo_real,programado,0-2,983,0.9938962360122076,11.84717365387182,11.6635018,0.033258230213631744,11.880431884085453
global,XGB,segmento_tramo_real,programado,14+ (PLOS),99,0.40404040404040403,14.277080216666672,14.33341605,18.239186404545453,32.51626662121212
global,XGB,segmento_tramo_real,programado,3-6,501,0.9740518962075848,13.218616398802395,13.2146372,0.335414280239521,13.554030679041917
global,XGB,segmento_tramo_real,programado,7-13,110,0.9090909090909091,13.803123027727278,14.33341605,2.942035475000001,16.745158502727275
global,XGB,segmento_tramo_real,urgente,0-2,200,0.905,12.564307659750002,12.345311800000001,0.4895682235000001,13.05387588325
global,XGB,segmento_tramo_real,urgente,14+ (PLOS),180,0.4444444444444444,14.260983088055557,14.33341605,17.472830646944445,31.733813735
global,XGB,segmento_tramo_real,urgente,3-6,179,0.8938547486033519,13.483037575139667,13.778117600000002,1.5889103081005587,15.071947883240226
global,XGB,segmento_tramo_real,urgente,7-13,139,0.8992805755395683,14.055444246043166,14.33341605,3.881209815827338,17.936654061870502
