metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
rmse,203.4588275071715,61.497493089536476,327.04852966935374,3000,279,LR,tramo_real,todos,14+ (PLOS)
medae,13.196020880743173,11.684571932844548,15.416740774958626,3000,279,LR,tramo_real,todos,14+ (PLOS)
me_sesgo_pred_menos_real,22.099030923746703,2.6529913926485884,49.29958360723037,3000,279,LR,tramo_real,todos,14+ (PLOS)
pup_subestimacion,0.6810035842293907,0.6272401433691757,0.7347670250896058,3000,279,LR,tramo_real,todos,14+ (PLOS)
mae_asimetrico_alpha_2,56.920436819101084,38.007404346556626,83.49963443063568,3000,279,LR,tramo_real,todos,14+ (PLOS)
pct_error_abs_le_1d,0.025089605734767026,0.007168458781362007,0.04659498207885305,3000,279,LR,tramo_real,todos,14+ (PLOS)
pct_error_abs_le_3d,0.08602150537634409,0.05725806451612906,0.12186379928315412,3000,279,LR,tramo_real,todos,14+ (PLOS)
pct_error_abs_le_7d,0.26523297491039427,0.21505376344086022,0.31899641577060933,3000,279,LR,tramo_real,todos,14+ (PLOS)
precision_plos_14,1.0,1.0,1.0,3000,279,LR,tramo_real,todos,14+ (PLOS)
recall_plos_14,0.5197132616487455,0.46236559139784944,0.5770609318996416,3000,279,LR,tramo_real,todos,14+ (PLOS)
f1_plos_14,0.6839622641509434,0.6323529411764706,0.7318181818181818,3000,279,LR,tramo_real,todos,14+ (PLOS)
accuracy_plos_14,0.5197132616487455,0.46236559139784944,0.5770609318996416,3000,279,LR,tramo_real,todos,14+ (PLOS)
n_plos_real_14,279.0,,,3000,279,LR,tramo_real,todos,14+ (PLOS)
n_plos_pred_14,145.0,,,3000,279,LR,tramo_real,todos,14+ (PLOS)
tn_plos_14,0.0,,,3000,279,LR,tramo_real,todos,14+ (PLOS)
fp_plos_14,0.0,,,3000,279,LR,tramo_real,todos,14+ (PLOS)
fn_plos_14,134.0,,,3000,279,LR,tramo_real,todos,14+ (PLOS)
tp_plos_14,145.0,,,3000,279,LR,tramo_real,todos,14+ (PLOS)
