metrica,valor,ic95_inf,ic95_sup,n_boot,n,modelo,alcance,segmento,tramo_real
mae,5.642346374692522,4.91118015827999,6.442385633687418,3000,698,RF,segmento,urgente,todos
rmse,11.928702477902581,8.982994219930957,15.169084096557588,3000,698,RF,segmento,urgente,todos
medae,2.548973447740884,2.268512400600096,2.931413442838729,3000,698,RF,segmento,urgente,todos
me_sesgo_pred_menos_real,-2.5336202430484307,-3.4658559585091773,-1.7350683150775743,3000,698,RF,segmento,urgente,todos
pup_subestimacion,0.504297994269341,0.4670487106017192,0.5415472779369628,3000,698,RF,segmento,urgente,todos
mae_asimetrico_alpha_2,9.730329683563,8.306103193985857,11.32136772718261,3000,698,RF,segmento,urgente,todos
pct_error_abs_le_1d,0.2335243553008596,0.2034383954154728,0.2636103151862464,3000,698,RF,segmento,urgente,todos
pct_error_abs_le_3d,0.5429799426934098,0.5071633237822349,0.5816618911174785,3000,698,RF,segmento,urgente,todos
pct_error_abs_le_7d,0.7808022922636103,0.7507163323782235,0.8123209169054442,3000,698,RF,segmento,urgente,todos
precision_plos_14,0.8272727272727273,0.7550970388155261,0.8942307692307693,3000,698,RF,segmento,urgente,todos
recall_plos_14,0.5055555555555555,0.43547912713472486,0.5806541719228691,3000,698,RF,segmento,urgente,todos
f1_plos_14,0.6275862068965518,0.5606060606060607,0.6911789380181603,3000,698,RF,segmento,urgente,todos
accuracy_plos_14,0.8452722063037249,0.8180515759312321,0.8724928366762178,3000,698,RF,segmento,urgente,todos
n_plos_real_14,180.0,,,3000,698,RF,segmento,urgente,todos
n_plos_pred_14,110.0,,,3000,698,RF,segmento,urgente,todos
tn_plos_14,499.0,,,3000,698,RF,segmento,urgente,todos
fp_plos_14,19.0,,,3000,698,RF,segmento,urgente,todos
fn_plos_14,89.0,,,3000,698,RF,segmento,urgente,todos
tp_plos_14,91.0,,,3000,698,RF,segmento,urgente,todos
mae,1.8363191811482573,1.6077082014367985,2.0946732930476673,3000,1693,XGB,segmento,programado,todos
rmse,5.500659312923694,4.124141022060831,7.003473605601572,3000,1693,XGB,segmento,programado,todos
medae,0.5848431999999999,0.5526420000000001,0.6492172,3000,1693,XGB,segmento,programado,todos
me_sesgo_pred_menos_real,-0.6077601811246308,-0.8838323199022444,-0.3702546575482575,3000,1693,XGB,segmento,programado,todos
pup_subestimacion,0.4181925575900768,0.3945658594211459,0.44240992321323097,3000,1693,XGB,segmento,programado,todos
mae_asimetrico_alpha_2,3.0583588622847016,2.6283433474894857,3.5542798641749562,3000,1693,XGB,segmento,programado,todos
pct_error_abs_le_1d,0.6692262256349675,0.6461901949202599,0.6904902539870054,3000,1693,XGB,segmento,programado,todos
pct_error_abs_le_3d,0.8854105138806851,0.8700531600708801,0.9007678676904902,3000,1693,XGB,segmento,programado,todos
pct_error_abs_le_7d,0.9456585942114589,0.9344359125812167,0.9562906083874778,3000,1693,XGB,segmento,programado,todos
precision_plos_14,0.8051948051948052,0.7142857142857143,0.8904163099315069,3000,1693,XGB,segmento,programado,todos
recall_plos_14,0.6262626262626263,0.5319148936170213,0.7209482138575881,3000,1693,XGB,segmento,programado,todos
f1_plos_14,0.7045454545454545,0.6235294117647059,0.7809523809523808,3000,1693,XGB,segmento,programado,todos
accuracy_plos_14,0.9692852923803899,0.961015948021264,0.9775546367395157,3000,1693,XGB,segmento,programado,todos
n_plos_real_14,99.0,,,3000,1693,XGB,segmento,programado,todos
n_plos_pred_14,77.0,,,3000,1693,XGB,segmento,programado,todos
tn_plos_14,1579.0,,,3000,1693,XGB,segmento,programado,todos
fp_plos_14,15.0,,,3000,1693,XGB,segmento,programado,todos
fn_plos_14,37.0,,,3000,1693,XGB,segmento,programado,todos
tp_plos_14,62.0,,,3000,1693,XGB,segmento,programado,todos
mae,5.342858944054441,4.728401807487464,5.997981924023997,3000,698,XGB,segmento,urgente,todos
rmse,10.126998004837096,8.216966808397242,12.099293601584536,3000,698,XGB,segmento,urgente,todos
medae,2.4921251499999997,2.2382687500000005,2.7005531,3000,698,XGB,segmento,urgente,todos
me_sesgo_pred_menos_real,-1.8224861168338107,-2.5793668093732087,-1.1008059845343838,3000,698,XGB,segmento,urgente,todos
pup_subestimacion,0.5171919770773639,0.4813753581661891,0.5530085959885387,3000,698,XGB,segmento,urgente,todos
mae_asimetrico_alpha_2,8.925531474498568,7.7675729175859605,10.191950055805874,3000,698,XGB,segmento,urgente,todos
pct_error_abs_le_1d,0.27363896848137537,0.24212034383954154,0.30802292263610315,3000,698,XGB,segmento,urgente,todos
pct_error_abs_le_3d,0.5630372492836676,0.5272206303724928,0.6002865329512894,3000,698,XGB,segmento,urgente,todos
pct_error_abs_le_7d,0.7765042979942693,0.7449498567335243,0.8080229226361032,3000,698,XGB,segmento,urgente,todos
precision_plos_14,0.796875,0.7266187050359713,0.8660863095238096,3000,698,XGB,segmento,urgente,todos
recall_plos_14,0.5666666666666667,0.4946808510638298,0.6381966328819237,3000,698,XGB,segmento,urgente,todos
f1_plos_14,0.6623376623376623,0.6006435643564357,0.7205503308951584,3000,698,XGB,segmento,urgente,todos
accuracy_plos_14,0.8510028653295129,0.8237822349570201,0.8767908309455588,3000,698,XGB,segmento,urgente,todos
n_plos_real_14,180.0,,,3000,698,XGB,segmento,urgente,todos
n_plos_pred_14,128.0,,,3000,698,XGB,segmento,urgente,todos
tn_plos_14,492.0,,,3000,698,XGB,segmento,urgente,todos
fp_plos_14,26.0,,,3000,698,XGB,segmento,urgente,todos
fn_plos_14,78.0,,,3000,698,XGB,segmento,urgente,todos
tp_plos_14,102.0,,,3000,698,XGB,segmento,urgente,todos
