Modelo,MAE,RMSE,MedAE,Subestimación,Prec. PLOS14,Recall PLOS14,F1 PLOS14
LR,6.68 [4.42; 9.94],69.57 [21.00; 112.25],0.85 [0.78; 0.92],49.7% [47.7; 51.7],77.5% [71.5; 83.4],52.0% [45.9; 57.6],62.2% [56.8; 67.2]
RF,3.10 [2.81; 3.42],8.29 [6.83; 9.88],0.91 [0.87; 0.96],45.5% [43.5; 47.6],82.0% [76.2; 87.2],53.8% [47.8; 59.6],64.9% [59.4; 69.8]
XGB,2.86 [2.61; 3.13],7.17 [6.03; 8.31],0.84 [0.80; 0.89],44.7% [42.7; 46.7],80.0% [74.2; 85.3],58.8% [52.9; 64.7],67.8% [62.8; 72.5]
