p_code;p_caract_3;p_caract_1;grupo_final;nivel_agrupacion;pacientes_p_code;pacientes_p_caract_3;pacientes_p_caract_1
BF100ZZ;BF1;B;BF1;categoria_3_char;4;87;1410
0B588ZZ;0B5;0;rare_sec_0;seccion_rare;1;4;9118
02U53JZ;02U;0;rare_sec_0;seccion_rare;1;15;9118
0DN94ZZ;0DN;0;0DN;categoria_3_char;1;28;9118
0DNA4ZZ;0DN;0;0DN;categoria_3_char;1;28;9118
07BJ0ZX;07B;0;07B;categoria_3_char;3;172;9118
04H033Z;04H;0;04H;categoria_3_char;1;27;9118
0B9J8ZX;0B9;0;0B9;categoria_3_char;2;111;9118
0PPH34Z;0PP;0;rare_sec_0;seccion_rare;1;18;9118
0T9D7ZZ;0T9;0;0T9;categoria_3_char;2;327;9118
07BJ0ZZ;07B;0;07B;categoria_3_char;3;172;9118
0W337ZZ;0W3;0;0W3;categoria_3_char;2;60;9118
0DBE8ZZ;0DB;0;0DB;categoria_3_char;1;882;9118
0LMQ0ZZ;0LM;0;rare_sec_0;seccion_rare;1;19;9118
0QBD0ZZ;0QB;0;0QB;categoria_3_char;1;187;9118
0SGJ07Z;0SG;0;0SG;categoria_3_char;1;99;9118
0TBC8ZZ;0TB;0;0TB;categoria_3_char;4;153;9118
0BBC4ZX;0BB;0;0BB;categoria_3_char;1;91;9118
0BBF4ZX;0BB;0;0BB;categoria_3_char;2;91;9118
0W994ZX;0W9;0;0W9;categoria_3_char;2;291;9118
0DBT4ZX;0DB;0;0DB;categoria_3_char;1;882;9118
0UB10ZZ;0UB;0;0UB;categoria_3_char;1;58;9118
0GB04ZZ;0GB;0;0GB;categoria_3_char;1;20;9118
0TF68ZZ;0TF;0;rare_sec_0;seccion_rare;1;19;9118
0SB30ZZ;0SB;0;0SB;categoria_3_char;3;232;9118
047C3ZZ;047;0;047;categoria_3_char;4;164;9118
037J3DZ;037;0;rare_sec_0;seccion_rare;1;9;9118
0PSLXZZ;0PS;0;0PS;categoria_3_char;5;181;9118
0Y9H0ZZ;0Y9;0;rare_sec_0;seccion_rare;1;6;9118
0BBG8ZX;0BB;0;0BB;categoria_3_char;4;91;9118
0DQ84ZZ;0DQ;0;0DQ;categoria_3_char;1;49;9118
0RG70J1;0RG;0;0RG;categoria_3_char;1;108;9118
07BD3ZX;07B;0;07B;categoria_3_char;1;172;9118
0FB93ZX;0FB;0;0FB;categoria_3_char;1;89;9118
04V04D6;04V;0;04V;categoria_3_char;1;30;9118
02HK0KZ;02H;0;02H;categoria_3_char;1;237;9118
0SQD0ZZ;0SQ;0;0SQ;categoria_3_char;1;22;9118
0D9W3ZX;0D9;0;0D9;categoria_3_char;1;104;9118
D0001ZZ;D00;D;rare_sec_D;seccion_rare;2;4;33
DP041ZZ;DP0;D;rare_sec_D;seccion_rare;1;10;33
0T938ZX;0T9;0;0T9;categoria_3_char;1;327;9118
0QPF04Z;0QP;0;0QP;categoria_3_char;1;78;9118
0QB33ZZ;0QB;0;0QB;categoria_3_char;4;187;9118
3E0J705;3E0;3;3E0;categoria_3_char;1;1527;2182
B316ZZZ;B31;B;B31;categoria_3_char;2;48;1410
BD11YZZ;BD1;B;rare_sec_B;seccion_rare;1;2;1410
BD12YZZ;BD1;B;rare_sec_B;seccion_rare;1;2;1410
0SRS03A;0SR;0;0SR;categoria_3_char;1;525;9118
0FC94ZZ;0FC;0;0FC;categoria_3_char;2;63;9118
0QSH34Z;0QS;0;0QS;categoria_3_char;2;304;9118
2W3AX2Z;2W3;2;2W3;categoria_3_char;1;26;53
0XQRXZZ;0XQ;0;rare_sec_0;seccion_rare;1;1;9118
0B914ZZ;0B9;0;0B9;categoria_3_char;1;111;9118
0DBE0ZZ;0DB;0;0DB;categoria_3_char;2;882;9118
0KCG0ZZ;0KC;0;rare_sec_0;seccion_rare;1;3;9118
06LY4ZC;06L;0;rare_sec_0;seccion_rare;1;13;9118
0KXG0Z2;0KX;0;rare_sec_0;seccion_rare;1;9;9118
0LM10ZZ;0LM;0;rare_sec_0;seccion_rare;1;19;9118
0MB10ZZ;0MB;0;0MB;categoria_3_char;1;33;9118
0LXS4ZZ;0LX;0;rare_sec_0;seccion_rare;1;12;9118
047H356;047;0;047;categoria_3_char;1;164;9118
047J34Z;047;0;047;categoria_3_char;2;164;9118
0D1N0ZP;0D1;0;0D1;categoria_3_char;1;166;9118
0DTT0ZZ;0DT;0;0DT;categoria_3_char;1;221;9118
0TN60ZZ;0TN;0;rare_sec_0;seccion_rare;1;3;9118
