tramo_los;n;los_real_promedio;los_pred_promedio;mae;rmse;medae;bias_error_medio;pct_subestima
0-2;1183;1.2366863905325445;2.0406025913138564;0.8707549561914104;1.4313919485664708;0.5411205291748047;0.8039162007813119;0.11158072696534235
3-6;680;4.004411764705883;3.494473135471344;1.543110185510972;2.370383040897377;1.1053948402404785;-0.5099386292345384;0.7647058823529411
7-13;249;9.220883534136545;7.287190173524451;4.44546711732106;5.418498398041513;3.9759416580200195;-1.9336933606120956;0.7550200803212851
14-26;157;18.21019108280255;12.010898889250056;8.209432922351132;9.623639714069448;7.88940954208374;-6.199292193552491;0.8535031847133758
27+;122;49.15573770491803;29.682266421005373;23.864101724546465;31.135114652792854;18.94949245452881;-19.47347128391266;0.8852459016393442
