codigo;n_pacientes
4A1ZXQZ;1026
10E0XZZ;722
30233N1;638
4A023N7;626
B2111ZZ;548
10907ZC;441
3E033VJ;413
0DJ08ZZ;364
3E0S3BZ;350
0W8NXZZ;349
0DB68ZX;344
4A1HXFZ;332
5A09357;321
3E0G76Z;316
0FT44ZZ;296
B24BZZ4;238
0DB98ZX;226
027034Z;197
10D00Z1;197
0DJD8ZZ;196
