tramo,n_casos,los_real_promedio,los_pred_promedio,mae,rmse,medae,bias_error_medio,pct_subestima,pct_sobrestima,costo_asimetrico_2x
0-2,200,1.16,3.25907023366065,2.140735721157191,3.3997254193527073,1.4457409498183658,2.0990702336606497,0.06,0.94,2.161568464905462
3-6,179,4.251396648044692,4.673378031126859,1.8974456240152042,2.8429002926712514,1.2949178234328316,0.4219813830821665,0.5921787709497207,0.40782122905027934,2.6351777444817235
7-13,139,9.302158273381295,7.811635561509011,3.880450016957142,4.624029667585807,3.524975334999443,-1.4905227118722828,0.6906474820143885,0.30935251798561153,6.565936381371855
14-26,104,18.817307692307693,15.159197966960859,8.84484007560001,11.749001986326826,7.453646998724471,-3.658109725346831,0.7980769230769231,0.20192307692307693,15.096314976073428
27+,76,46.64473684210526,30.26950859749549,23.568506243464498,31.100097926443635,17.989192911555257,-16.375228244609772,0.8421052631578947,0.15789473684210525,43.54037348750164
