tramo,n_casos,los_real_promedio,los_pred_promedio,mae,rmse,medae,bias_error_medio,pct_subestima,pct_sobrestima,pct_error_abs_le_1d,pct_error_abs_le_3d,pct_error_abs_le_7d,subestimacion_media_solo_subestimados,sobreestimacion_media_solo_sobrestimados,costo_asimetrico_2x,costo_asimetrico_3x
0-2,1183,1.2366863905325445,2.093941421370515,0.9197108620030171,1.6151261633105451,0.5439696575000539,0.8572550308379706,0.11749788672865596,0.8825021132713441,0.738799661876585,0.9349112426035503,0.9923922231614539,0.2657742743462222,1.0067771318155598,0.9509387775855401,0.9821666931680633
3-6,680,4.004411764705883,3.711782864567501,1.5579966050637546,2.635069100518971,1.098183578904046,-0.2926289001383807,0.6882352941176471,0.31176470588235294,0.4573529411764706,0.8867647058823529,0.9794117647058823,1.3444715208733462,2.029363300352015,2.4833093576648224,3.4086221102658905
7-13,249,9.220883534136545,7.390869739653899,4.286338903313089,5.3446126491591555,3.927840876595318,-1.8300137944826467,0.7590361445783133,0.24096385542168675,0.08835341365461848,0.3614457831325301,0.8835341365461847,4.029025983468619,5.096874600823168,7.3445152522109565,10.402691601108822
14-26,157,18.21019108280255,11.513609171853902,8.15608883187059,9.43425389452362,7.832060711825619,-6.6965819109486455,0.8535031847133758,0.1464968152866242,0.044585987261146494,0.15286624203821655,0.445859872611465,8.701004875457537,4.9813605779292525,15.58242420328021,23.008759574689826
27+,122,49.15573770491803,23.70552708521208,27.200541854835198,36.55420709239167,21.521975866913962,-25.450210619705953,0.8934426229508197,0.10655737704918032,0.03278688524590164,0.05737704918032787,0.1557377049180328,29.465100008688168,8.213092718683352,53.52591809210577,79.85129432937634
