metrica,mean,std
mae,3.434254463961923,0.15623902902681033
rmse,9.827706916024855,1.5807224542931682
medae,0.9888976426501344,0.029055480150682808
wape,0.5294008430484601,0.0078897138818768
smape,0.4847420313507086,0.008818581396177335
bias_error_medio,-1.741240323130505,0.18899046597715574
pct_subestima,0.4413179916317992,0.007260273302357306
pct_sobrestima,0.5586820083682008,0.007260273302357336
precision_plos_27,0.8018762402634169,0.02330012639597168
recall_plos_27,0.256701030927835,0.05156637525536946
f1_plos_27,0.3865663547191701,0.05790826334223009
costo_asimetrico_2x,6.022001857508136,0.326675573415562
costo_asimetrico_3x,8.609749251054348,0.49765752387691603
