tramo_los;n;los_real_promedio;los_pred_promedio;mae;medae;error_medio;pct_subestima
0-2;1183;1.2366863905325445;2.5758824267033464;1.339196036170802;1.286682202332599;1.339196036170802;0.0
3-6;680;4.004411764705883;3.1949679130562103;1.3877264932095388;1.1971356478971409;-0.8094438516496718;83.08823529411765
7-13;249;9.220883534136545;5.286898511421904;4.125225870846115;4.1959441514573586;-3.9339850227146425;92.7710843373494
14-26;157;18.21019108280255;7.288078081450728;10.936455479404453;10.335963083665009;-10.92211300135182;99.36305732484077
27+;122;49.15573770491803;10.849200949284894;38.30653675563314;31.799118995459196;-38.30653675563314;100.0
