segmento,variante,pregunta,n_casos,mae,mae_ci_lower,mae_ci_upper,rmse,recall_plos,f1_plos,precision_plos,mae_asimetrico,delta_mae_pct
global,Full (linea base),Referencia completa del pipeline en dos etapas.,2391,2.859976547790067,2.6108187462540133,3.1435608758513602,7.166820222578505,0.5878136200716846,0.6776859504132232,0.8,4.771151203003103,0.0
urgente,Full (linea base),Referencia completa del pipeline en dos etapas.,698,5.342858958978708,4.72263426063182,6.000122732348889,10.126998033651082,0.5666666666666667,0.6623376623376623,0.796875,8.925531486556318,0.0
programado,Full (linea base),Referencia completa del pipeline en dos etapas.,1693,1.8363191803891985,1.6159863217854273,2.1157032683018615,5.5006593061603795,0.6262626262626263,0.7045454545454545,0.8051948051948052,3.058358859281813,0.0
global,Sin Charlson,Mide la dependencia del indice de comorbilidad Charlson.,2391,2.910948943276627,2.659544968270685,3.1994963380683794,7.3093569549619,0.5806451612903226,0.675,0.8059701492537313,4.849331406196358,1.782266205152858
urgente,Sin Charlson,Mide la dependencia del indice de comorbilidad Charlson.,698,5.4959164733189905,4.8797410291510195,6.1699402952433315,10.37135397739431,0.5666666666666667,0.6601941747572816,0.7906976744186046,9.13013055946219,2.8647118614851084
programado,Sin Charlson,Mide la dependencia del indice de comorbilidad Charlson.,1693,1.8452033225031061,1.6152735942687533,2.1158193531041833,5.577297622939973,0.6060606060606061,0.7017543859649124,0.8333333333333334,3.0844183471416904,0.4838016293019766
global,Sin capitulos ICD-10,Mide el aporte marginal de agrupaciones raras por capitulo.,2391,2.8660310525080988,2.6140166082999436,3.147286740146867,7.180420079069972,0.6057347670250897,0.6969072164948454,0.8203883495145631,4.788146489181812,0.21169770509866492
urgente,Sin capitulos ICD-10,Mide el aporte marginal de agrupaciones raras por capitulo.,698,5.428079343883902,4.831432180601922,6.082602933670439,10.198154559738988,0.5833333333333334,0.6840390879478828,0.8267716535433071,9.033970084948663,1.5950333998987765
programado,Sin capitulos ICD-10,Mide el aporte marginal de agrupaciones raras por capitulo.,1693,1.8097347102870056,1.583824744433103,2.080307598694569,5.471429706318791,0.6464646464646465,0.7191011235955057,0.810126582278481,3.037653358735703,-1.4477042110162162
global,Sin codigos clinicos,Mide cuanto se pierde al remover codigos clinicos detallados.,2391,3.4528657678080026,3.1669010052741795,3.781644464096281,8.141999644866887,0.4659498207885305,0.579064587973274,0.7647058823529411,5.88394743121852,20.73056230045197
urgente,Sin codigos clinicos,Mide cuanto se pierde al remover codigos clinicos detallados.,698,5.93511185622147,5.221172107457261,6.693541560687103,11.53150687791755,0.4888888888888889,0.5945945945945945,0.7586206896551724,10.084128203057286,11.0849435066497
programado,Sin codigos clinicos,Mide cuanto se pierde al remover codigos clinicos detallados.,1693,2.429470747304399,2.175576623272628,2.7167410328588186,6.228924109475904,0.42424242424242425,0.5490196078431373,0.7777777777777778,4.152272192740398,32.30111481978232
global,Sin Clasificador (1 Etapa),Mide si la probabilidad PLOS de la etapa 1 aporta valor neto.,2391,2.8441121014702127,2.598459319166749,3.115801897494489,6.9792180577572545,0.5985663082437276,0.7046413502109705,0.8564102564102564,4.798062469733903,-0.5547054689001952
urgente,Sin Clasificador (1 Etapa),Mide si la probabilidad PLOS de la etapa 1 aporta valor neto.,698,5.20540681669227,4.653579506713545,5.774800095220435,9.400852324846669,0.5888888888888889,0.6928104575163399,0.8412698412698413,8.795764261125493,-2.5726328046793796
programado,Sin Clasificador (1 Etapa),Mide si la probabilidad PLOS de la etapa 1 aporta valor neto.,1693,1.8705836246686791,1.63840293893255,2.1576593498884753,5.688192185156687,0.6161616161616161,0.7261904761904762,0.8840579710144928,3.149866456508073,1.8659307513314998
