segmento,politica_clinica,umbral_probabilidad,tp,fp,fn,tn,precision,recall,f1,accuracy,camas_bloqueadas_fp,pacientes_plos_perdidos_fn,fp_por_fn,promedio_dias_subestimados_fn,promedio_dias_sobrestimados_fp
global,Politica B - Alta Seguridad / Alto Recall,0.35,245,229,34,1883,0.5168776371308017,0.8781362007168458,0.650730411686587,0.890004182350481,229,34,6.735294117647059,15.015281497058824,4.3280267349344985
global,Politica A - Base / Equilibrio,0.5,229,148,50,1964,0.6074270557029178,0.8207885304659498,0.6981707317073171,0.917189460476788,148,50,2.96,15.51975991,5.325241897297297
global,Politica C - Eficiencia / Alertas Confiables,0.65,204,94,75,2018,0.6845637583892618,0.7311827956989247,0.707105719237435,0.9293182768716018,94,75,1.2533333333333334,14.164178785333334,6.576243710638297
urgente,Politica B - Alta Seguridad / Alto Recall,0.35,153,129,27,389,0.5425531914893617,0.85,0.6623376623376622,0.7765042979942693,129,27,4.777777777777778,15.023176907407406,4.865817546511629
urgente,Politica A - Base / Equilibrio,0.5,145,83,35,435,0.6359649122807017,0.8055555555555556,0.7107843137254901,0.830945558739255,83,35,2.3714285714285714,15.104210762857143,6.002878351807229
urgente,Politica C - Eficiencia / Alertas Confiables,0.65,124,46,56,472,0.7294117647058823,0.6888888888888889,0.7085714285714285,0.8538681948424068,46,56,0.8214285714285714,13.438035744642859,7.843345380434783
programado,Politica B - Alta Seguridad / Alto Recall,0.35,92,100,7,1494,0.4791666666666667,0.9292929292929293,0.6323024054982818,0.9367985823981099,100,7,14.285714285714286,14.984827771428572,3.6342765880000005
programado,Politica A - Base / Equilibrio,0.5,84,65,15,1529,0.5637583892617449,0.8484848484848485,0.6774193548387096,0.9527466036621383,65,15,4.333333333333333,16.48937458666667,4.45995227076923
programado,Politica C - Eficiencia / Alertas Confiables,0.65,80,48,19,1546,0.625,0.8080808080808081,0.7048458149779737,0.9604252805670408,48,19,2.526315789473684,16.30438985263158,5.36193794375
