segmento,precision,recall,thresholds
global,0.11668757841907151,1.0,
global,0.11673640167364016,1.0,0.0005353359
global,0.11678526580159063,1.0,0.0006449614
global,0.11683417085427136,1.0,0.0006994375
global,0.11688311688311688,1.0,0.0007011256
global,0.11693210393964795,1.0,0.00074721256
global,0.1169811320754717,1.0,0.00078130694
global,0.11703020134228188,1.0,0.0007823201
global,0.11712846347607053,1.0,0.0007986466
global,0.11717765644687106,1.0,0.00080786925
global,0.11722689075630252,1.0,0.0008143562
global,0.11727616645649433,1.0,0.00085705257
global,0.11732548359966358,1.0,0.0008926611
global,0.11737484223811527,1.0,0.00094387645
global,0.11742424242424243,1.0,0.00096952333
global,0.11747368421052631,1.0,0.0009795504
global,0.11752316764953664,1.0,0.0009832929
global,0.11757269279393173,1.0,0.000994439
global,0.11762225969645869,1.0,0.0010108777
global,0.11772151898734177,1.0,0.0010186183
global,0.11777121148163783,1.0,0.0010416678
global,0.11782094594594594,1.0,0.0010422574
global,0.11787072243346007,1.0,0.0010564291
global,0.11792054099746407,1.0,0.0011067627
global,0.11797040169133192,1.0,0.0011097299
global,0.11802030456852793,1.0,0.001113348
global,0.11807024968260686,1.0,0.0011139781
global,0.11812023708721422,1.0,0.001141931
global,0.11822033898305084,1.0,0.0011602488
global,0.11827045358202629,1.0,0.0011893616
global,0.1183206106870229,1.0,0.0011929452
global,0.11837081035214256,1.0,0.001203694
global,0.11842105263157894,1.0,0.0012175652
global,0.11847133757961784,1.0,0.001247501
global,0.11862244897959184,1.0,0.0012555843
global,0.11882453151618398,1.0,0.001268133
global,0.11887515977844056,1.0,0.0012687698
global,0.11892583120204604,1.0,0.0012827702
global,0.11897654584221748,1.0,0.0012968922
global,0.1190273037542662,1.0,0.0012985725
global,0.11912894961571306,1.0,0.0013040091
global,0.11917983767620675,1.0,0.0013040793
global,0.11923076923076924,1.0,0.001338611
global,0.11928174433518597,1.0,0.0013490173
global,0.11943493150684932,1.0,0.0013581624
global,0.11948608137044968,1.0,0.0013697122
global,0.11963979416809606,1.0,0.0013738372
global,0.11974248927038626,1.0,0.0013739589
global,0.11979390296264492,1.0,0.0013808939
global,0.11984536082474227,1.0,0.0014050658
global,0.11989686291362268,1.0,0.0014161322
global,0.11994840928632847,1.0,0.0014283063
global,0.12,1.0,0.0014529473
global,0.12005163511187608,1.0,0.0014557247
global,0.12010331467929401,1.0,0.0014596657
global,0.12015503875968993,1.0,0.0014897032
global,0.12020680741059887,1.0,0.001501509
global,0.1203104786545925,1.0,0.0015025344
global,0.12036238136324418,1.0,0.0015090125
global,0.1205704407951599,1.0,0.0015167848
global,0.12062256809338522,1.0,0.0015228863
global,0.12072695802682822,1.0,0.0015273802
global,0.12077922077922078,1.0,0.001534316
global,0.12083152880034648,1.0,0.0015353017
global,0.12088388214904679,1.0,0.0015365478
global,0.12093628088426528,1.0,0.0015415488
global,0.1209887250650477,1.0,0.001557069
global,0.1210412147505423,1.0,0.0015593658
global,0.12130434782608696,1.0,0.0015649193
global,0.12156862745098039,1.0,0.0015829765
global,0.12162162162162163,1.0,0.0016003426
global,0.12167466201482774,1.0,0.0016015245
