umbral_plos,n_casos,mae,rmse,me,pup,mae_asimetrico,precision_plos,recall_plos,f1_plos,proporcion_plos,n_plos_real,n_plos_pred,delta_mae_pct_vs_umbral_14
7,2391,2.847415094359282,7.050180627591834,-1.0002159272456508,0.4316185696361355,4.771230605161748,0.84,0.6363636363636364,0.7241379310344828,0.22082810539523212,528,400,-0.43921526001643435
14,2391,2.859976547790067,7.166820222578505,-0.9623727626360046,0.44709326641572567,4.771151203003103,0.8,0.5878136200716846,0.6776859504132232,0.11668757841907151,279,205,0.0
21,2391,2.8275771005564483,7.045998437661021,-0.9515589479744958,0.451693851944793,4.71714512482192,0.7889908256880734,0.49142857142857144,0.6056338028169014,0.07319113341698034,175,109,-1.1328570948826227
27,2391,2.8640408677780096,7.040559227162342,-1.0043253847578988,0.4625679631953158,4.798223994045964,0.7468354430379747,0.48360655737704916,0.5870646766169154,0.051024675867837724,122,79,0.14211025580202657
