codigo;n_pacientes
4A1ZXQZ;1027
10E0XZZ;722
30233N1;641
4A023N7;627
B2111ZZ;549
10907ZC;441
3E033VJ;413
0DJ08ZZ;365
3E0S3BZ;350
0W8NXZZ;349
0DB68ZX;346
4A1HXFZ;332
5A09357;322
3E0G76Z;317
0FT44ZZ;296
B24BZZ4;238
0DB98ZX;229
027034Z;197
10D00Z1;197
0DJD8ZZ;196
