metrica,mean,std
mae,5.977858028762434,1.8253269520363293
rmse,51.90159536223426,38.45157673512978
medae,0.9381201644815361,0.01687089604940699
wape,0.9151963320742823,0.25116749292753016
smape,0.4921913881123313,0.006544715164062082
bias_error_medio,2.0358983974858083,1.9392857804053267
pct_subestima,0.48901673640167365,0.010039934006512803
pct_sobrestima,0.5109832635983264,0.0100399340065128
precision_plos_27,0.6060803750458923,0.017118623914069143
recall_plos_27,0.5091521144540291,0.041379901525344
f1_plos_27,0.5528651609303389,0.029435140804416306
costo_asimetrico_2x,7.948837844400747,1.7707635228600878
costo_asimetrico_3x,9.91981766003906,1.7180168875999473
