modelo,metodo_ip90,alcance,segmento,tramo_real,n,coverage,width_mean
LR,global,global,todos,todos,1693,0.8139397519196693,4.58335861714234
LR,segmento,global,todos,todos,1693,0.8139397519196693,4.58335861714234
LR,pred_tramo,global,todos,todos,1693,0.7944477259303012,5.533692670026912
LR,segmento_pred_tramo,global,todos,todos,1693,0.7944477259303012,5.533692670026912
XGB,global,global,todos,todos,1693,0.8854105138806851,5.996399071621971
XGB,segmento,global,todos,todos,1693,0.8854105138806851,5.996399071621971
XGB,pred_tramo,global,todos,todos,1693,0.8789131718842291,6.856222944829295
XGB,segmento_pred_tramo,global,todos,todos,1693,0.8789131718842291,6.856222944829295
LR,global,tramo_real,todos,0-2,983,0.9186164801627671,4.41585549804973
LR,segmento,tramo_real,todos,0-2,983,0.9186164801627671,4.41585549804973
LR,pred_tramo,tramo_real,todos,0-2,983,0.866734486266531,2.6663915629074912
LR,segmento_pred_tramo,tramo_real,todos,0-2,983,0.866734486266531,2.6663915629074912
LR,global,tramo_real,todos,3-6,501,0.8562874251497006,4.819128912652617
LR,segmento,tramo_real,todos,3-6,501,0.8562874251497006,4.819128912652617
LR,pred_tramo,tramo_real,todos,3-6,501,0.7904191616766467,5.446919090791014
LR,segmento_pred_tramo,tramo_real,todos,3-6,501,0.7904191616766467,5.446919090791014
LR,global,tramo_real,todos,7-13,110,0.34545454545454546,4.820860078770485
LR,segmento,tramo_real,todos,7-13,110,0.34545454545454546,4.820860078770485
LR,pred_tramo,tramo_real,todos,7-13,110,0.509090909090909,10.790325283586622
LR,segmento_pred_tramo,tramo_real,todos,7-13,110,0.509090909090909,10.790325283586622
LR,global,tramo_real,todos,14+ (PLOS),99,0.08080808080808081,4.789515053892774
LR,segmento,tramo_real,todos,14+ (PLOS),99,0.08080808080808081,4.789515053892774
LR,pred_tramo,tramo_real,todos,14+ (PLOS),99,0.41414141414141414,28.60238927612799
LR,segmento_pred_tramo,tramo_real,todos,14+ (PLOS),99,0.41414141414141414,28.60238927612799
XGB,global,tramo_real,todos,0-2,983,0.9623601220752798,5.835788219782297
XGB,segmento,tramo_real,todos,0-2,983,0.9623601220752798,5.835788219782297
XGB,pred_tramo,tramo_real,todos,0-2,983,0.9186164801627671,3.2624861276612402
XGB,segmento_pred_tramo,tramo_real,todos,0-2,983,0.9186164801627671,3.2624861276612402
XGB,global,tramo_real,todos,3-6,501,0.9500998003992016,6.210172556726544
XGB,segmento,tramo_real,todos,3-6,501,0.9500998003992016,6.210172556726544
XGB,pred_tramo,tramo_real,todos,3-6,501,0.8942115768463074,6.210571668003989
XGB,segmento_pred_tramo,tramo_real,todos,3-6,501,0.8942115768463074,6.210571668003989
XGB,global,tramo_real,todos,7-13,110,0.5545454545454546,6.236950894181817
XGB,segmento,tramo_real,todos,7-13,110,0.5545454545454546,6.236950894181817
XGB,pred_tramo,tramo_real,todos,7-13,110,0.6090909090909091,14.094261173863627
XGB,segmento_pred_tramo,tramo_real,todos,7-13,110,0.6090909090909091,14.094261173863627
XGB,global,tramo_real,todos,14+ (PLOS),99,0.16161616161616163,6.242048069999998
XGB,segmento,tramo_real,todos,14+ (PLOS),99,0.16161616161616163,6.242048069999998
XGB,pred_tramo,tramo_real,todos,14+ (PLOS),99,0.7070707070707071,37.76461057888888
XGB,segmento_pred_tramo,tramo_real,todos,14+ (PLOS),99,0.7070707070707071,37.76461057888888
LR,global,segmento,programado,todos,1693,0.8139397519196693,4.58335861714234
LR,segmento,segmento,programado,todos,1693,0.8139397519196693,4.58335861714234
LR,pred_tramo,segmento,programado,todos,1693,0.7944477259303012,5.533692670026912
LR,segmento_pred_tramo,segmento,programado,todos,1693,0.7944477259303012,5.533692670026912
XGB,global,segmento,programado,todos,1693,0.8854105138806851,5.996399071621971
XGB,segmento,segmento,programado,todos,1693,0.8854105138806851,5.996399071621971
XGB,pred_tramo,segmento,programado,todos,1693,0.8789131718842291,6.856222944829295
XGB,segmento_pred_tramo,segmento,programado,todos,1693,0.8789131718842291,6.856222944829295
