modelo,alcance,segmento,tramo_real,metrica,valor,ic95_inf,ic95_sup,n_boot,n
LR,segmento,programado,todos,mae,3.336523304926834,2.6723639439154128,4.054898419869541,2000,1693
LR,segmento,programado,todos,rmse,15.261880746572505,10.525577853544275,19.49172877655182,2000,1693
LR,segmento,programado,todos,medae,0.5771935071970784,0.5356730406878123,0.6350506690135056,2000,1693
LR,segmento,programado,todos,me,0.743942025280716,0.08037740350402907,1.5282739881495027,2000,1693
LR,segmento,programado,todos,pup,0.4896633195510927,0.465431187241583,0.5115180153573539,2000,1693
LR,segmento,programado,todos,mae_asimetrico_alpha_2,4.632813944749894,3.808030844831057,5.482522077382548,2000,1693
LR,segmento,programado,todos,precision_plos_14,0.7605633802816901,0.65625,0.8545527859237536,2000,1693
LR,segmento,programado,todos,recall_plos_14,0.5454545454545454,0.449438202247191,0.6435810167555216,2000,1693
LR,segmento,programado,todos,f1_plos_14,0.6352941176470589,0.5512820512820513,0.718232044198895,2000,1693
XGB,segmento,programado,todos,mae,1.8363191811482573,1.6133011450460129,2.100976427746013,2000,1693
XGB,segmento,programado,todos,rmse,5.500659312923694,4.132700805389068,6.916487915445778,2000,1693
XGB,segmento,programado,todos,medae,0.5848431999999999,0.554595,0.6510271000000001,2000,1693
XGB,segmento,programado,todos,me,-0.6077601811246308,-0.8768211547810395,-0.3533292688225045,2000,1693
XGB,segmento,programado,todos,pup,0.4181925575900768,0.39455109273479033,0.44181925575900766,2000,1693
XGB,segmento,programado,todos,mae_asimetrico_alpha_2,3.0583588622847016,2.6194694412715887,3.5813378727359697,2000,1693
XGB,segmento,programado,todos,precision_plos_14,0.8051948051948052,0.7083216292134832,0.8876716604244692,2000,1693
XGB,segmento,programado,todos,recall_plos_14,0.6262626262626263,0.532608695652174,0.721166237113402,2000,1693
XGB,segmento,programado,todos,f1_plos_14,0.7045454545454545,0.620253164556962,0.7759562841530053,2000,1693
