modelo;mae;rmse;medae;precision_plos_27;recall_plos_27;f1_plos_27;tn;fp;fn;tp
regresion_lineal_los;4.30604952652587;8.974465055325473;1.7920585976469257;0.5769230769230769;0.6147540983606558;0.5952380952380952;2214;55;47;75
regresion_lineal_log1p_los;6.3087853085999175;53.026714557616714;0.8673601013168044;0.6597938144329897;0.5245901639344263;0.5844748858447488;2236;33;58;64
